task	omics	feature	category_id	category
PAM50	miRNA	MIMAT0027368	5	Other
PAM50	miRNA	MIMAT0015078	5	Other
PAM50	miRNA	MIMAT0025458	5	Other
PAM50	miRNA	MIMAT0000263	0	Development/Epithelium
PAM50	miRNA	MIMAT0022833	5	Other
PAM50	miRNA	MIMAT0018201	5	Other
PAM50	miRNA	MIMAT0014990	5	Other
PAM50	miRNA	MIMAT0004511	1	Signaling/Transport
PAM50	miRNA	MIMAT0019058	5	Other
PAM50	miRNA	MIMAT0009203	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0015084	5	Other
PAM50	miRNA	MIMAT0022925	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0004814	5	Other
PAM50	miRNA	MIMAT0019812	5	Other
PAM50	miRNA	MIMAT0015050	5	Other
PAM50	miRNA	MIMAT0022502	5	Other
PAM50	miRNA	MIMAT0019757	5	Other
PAM50	miRNA	MIMAT0003312	5	Other
